animal_id,outcome_type
A733886,Transfer
A751721,Adoption
A685382,Adoption
A742902,Adoption
A664714,Euthanasia
A695499,Adoption
A738262,Return to Owner
A667030,Adoption
A710063,Return to Owner
A763677,Return to Owner
A739092,Adoption
A672345,Transfer
A752123,Adoption
A693533,Transfer
A750557,Adoption
A735532,Transfer
A757147,Euthanasia
A724506,Adoption
A664309,Transfer
A736459,Adoption
A716527,Transfer
A724860,Adoption
A723035,Adoption
A745078,Transfer
A756046,Adoption
A738312,Adoption
A670664,Adoption
A757333,Transfer
A753908,Euthanasia
A692196,Died
A701111,Euthanasia
A716582,Adoption
A739086,Euthanasia
A663693,Transfer
A714661,Transfer
A737029,Adoption
A758340,Euthanasia
A747139,Transfer
A736592,Transfer
A712279,Transfer
A753778,Adoption
A761210,Adoption
A679348,Adoption
A723906,Return to Owner
A687668,Transfer
A725152,Adoption
A710543,Transfer
A748013,Transfer
A686559,Adoption
A711251,Missing
A702636,Transfer
A659918,Transfer
A664230,Transfer
A745323,Transfer
A680069,Transfer
A702058,Transfer
A683502,Transfer
A693270,Adoption
A731855,Transfer
A650466,Adoption
A760796,Transfer
A761866,Transfer
A731868,Adoption
A617429,Euthanasia
A668591,Transfer
A698895,Adoption
A714301,Adoption
A747461,Transfer
A701865,Euthanasia
A727991,Adoption
A689298,Adoption
A764882,Return to Owner
A674544,Adoption
A670131,Transfer
A599775,Return to Owner
A743849,Transfer
A737331,Adoption
A711747,Adoption
A725048,Transfer
A702203,Transfer
A674639,Return to Owner
A695026,Adoption
A686209,Adoption
A763535,Return to Owner
A679611,Euthanasia
A763701,Adoption
A698075,Adoption
A735283,Adoption
A684014,Adoption
A666063,Adoption
A534548,Adoption
A729133,Transfer
A709680,Transfer
A741357,Transfer
A666663,Adoption
A701171,Adoption
A705098,Transfer
A680343,Adoption
A709082,Transfer
A724081,Transfer
A670839,Return to Owner
A750363,Adoption
A713880,Transfer
A753159,Adoption
A733042,Transfer
A732373,Died
A731889,Return to Owner
A734543,Transfer
A730833,Adoption
A715163,Adoption
A621341,Return to Owner
A652416,Return to Owner
A643090,Euthanasia
A744655,Adoption
A751802,Adoption
A755212,Transfer
A686628,Adoption
A728476,Adoption
A739836,Transfer
A716474,Euthanasia
A682574,Euthanasia
A754499,Transfer
A689180,Adoption
A686782,Euthanasia
A761322,Return to Owner
A725644,Adoption
A685626,Adoption
A665723,Died
A747757,Transfer
A664609,Transfer
A719804,Return to Owner
A713637,Died
A696927,Transfer
A677095,Transfer
A708208,Adoption
A678583,Transfer
A679649,Transfer
A669399,Return to Owner
A735031,Transfer
A722317,Euthanasia
A682530,Euthanasia
A757590,Adoption
A699972,Transfer
A716209,Return to Owner
A680999,Transfer
A634578,Adoption
A728765,Transfer
A753784,Adoption
A674415,Transfer
A675382,Euthanasia
A683785,Adoption
A715018,Transfer
A718242,Adoption
A705497,Transfer
A685559,Transfer
A684029,Adoption
A678764,Transfer
A713583,Transfer
A723241,Return to Owner
A738750,Adoption
A672743,Transfer
A755336,Return to Owner
A662147,Transfer
A736524,Transfer
A679393,Transfer
A694395,Adoption
A711490,Transfer
A741732,Adoption
A662943,Adoption
A742849,Adoption
A618423,Return to Owner
A563492,Adoption
A726424,Transfer
A707645,Return to Owner
A758128,Transfer
A729564,Died
A732468,Return to Owner
A668882,Adoption
A678856,Adoption
A677321,Return to Owner
A744177,Adoption
A735017,Return to Owner
A698512,Euthanasia
A677168,Return to Owner
A720781,Transfer
A701507,Adoption
A670572,Adoption
A702298,Return to Owner
A677527,Transfer
A665697,Return to Owner
A725382,Transfer
A697146,Transfer
A751449,Adoption
A682152,Return to Owner
A756482,Transfer
A676079,Adoption
A754659,Adoption
A760298,Return to Owner
A670970,Transfer
A711895,Adoption
A682105,Transfer
A724621,Return to Owner
A673265,Transfer
A745528,Return to Owner
A751811,Adoption
A688440,Adoption
A732730,Transfer
A668216,Adoption
A674663,Transfer
A725548,Transfer
A758313,Return to Owner
A302820,Adoption
A730831,Adoption
A696344,Transfer
A688461,Adoption
A764245,Transfer
A710768,Transfer
A713321,Adoption
A761868,Transfer
A712376,Euthanasia
A759867,Transfer
A750874,Adoption
A749367,Adoption
A721743,Transfer
A714538,Return to Owner
A694835,Return to Owner
A671195,Return to Owner
A701000,Transfer
A763330,Adoption
A726074,Transfer
A711061,Adoption
A724062,Adoption
A718618,Transfer
A695663,Transfer
A754781,Adoption
A729623,Transfer
A681113,Return to Owner
A707796,Return to Owner
A723848,Euthanasia
A738176,Adoption
A729454,Transfer
A657803,Transfer
A640093,Return to Owner
A665627,Transfer
A732194,Disposal
A714715,Euthanasia
A722787,Euthanasia
A747164,Adoption
A706521,Transfer
A663649,Adoption
A723896,Adoption
A714383,Adoption
A739463,Return to Owner
A739853,Return to Owner
A742604,Adoption
A738408,Transfer
A693580,Adoption
A710107,Adoption
A665894,Transfer
A722984,Adoption
A724597,Transfer
A700798,Transfer
A731842,Adoption
A741078,Adoption
A728732,Transfer
A680328,Euthanasia
A744910,Transfer
A728080,Transfer
A710472,Return to Owner
A706560,Adoption
A758754,Adoption
A684661,Adoption
A765574,Transfer
A740336,Return to Owner
A730650,Transfer
A689263,Adoption
A718375,Adoption
A734796,Adoption
A702833,Adoption
A757795,Transfer
A763580,Transfer
A726264,Adoption
A415589,Return to Owner
A743084,Adoption
A664574,Adoption
A697745,Transfer
A759620,Adoption
A712948,Return to Owner
A668863,Adoption
A711160,Transfer
A723114,Disposal
A748478,Return to Owner
A689770,Transfer
A723572,Transfer
A712385,Transfer
A740239,Adoption
A746404,Euthanasia
A697381,Adoption
A693236,Transfer
A664057,Adoption
A703658,Adoption
A757395,Transfer
A710127,Transfer
A664265,Adoption
A713141,Adoption
A667123,Transfer
A739635,Adoption
A717594,Return to Owner
A741981,Adoption
A738264,Adoption
A757849,Adoption
A760510,Adoption
A736908,Adoption
A648134,Adoption
A736158,Adoption
A752706,Adoption
A716796,Adoption
A736312,Adoption
A689346,Transfer
A731402,Adoption
A632147,Return to Owner
A683856,Adoption
A678645,Relocate
A676946,Transfer
A680279,Transfer
A715382,Transfer
A710380,Transfer
A732592,Return to Owner
A655092,Adoption
A684268,Return to Owner
A689915,Transfer
A690453,Transfer
A676488,Return to Owner
A701467,Adoption
A754020,Transfer
A646980,Transfer
A666130,Return to Owner
A725632,Euthanasia
A751485,Return to Owner
A745735,Return to Owner
A703743,Return to Owner
A684652,Transfer
A687418,Transfer
A758320,Adoption
A663410,Return to Owner
A670896,Transfer
A661851,Adoption
A747944,Return to Owner
A711106,Adoption
A636565,Return to Owner
A691940,Adoption
A754931,Adoption
A725581,Adoption
A667723,Transfer
A763171,Return to Owner
A683896,Adoption
A703100,Transfer
A746600,Return to Owner
A694218,Adoption
A732784,Transfer
A748700,Transfer
A737788,Return to Owner
A675180,Transfer
A764061,Adoption
A667409,Transfer
A710547,Adoption
A738394,Transfer
A742815,Return to Owner
A691291,Return to Owner
A690904,Adoption
A694664,Return to Owner
A642692,Return to Owner
A675349,Transfer
A489503,Euthanasia
A714269,Transfer
A661795,Adoption
A690488,Transfer
A750952,Adoption
A730021,Adoption
A718709,Transfer
A734867,Transfer
A714263,Return to Owner
A758491,Adoption
A677882,Return to Owner
A765594,Transfer
A666568,Return to Owner
A668961,Adoption
A735302,Return to Owner
A726864,Transfer
A667379,Adoption
A675856,Adoption
A693830,Adoption
A723664,Transfer
A727105,Transfer
A629162,Euthanasia
A691044,Transfer
A646964,Adoption
A737271,Euthanasia
A705715,Transfer
A677963,Adoption
A694262,Adoption
A745450,Transfer
A716192,Adoption
A753830,Adoption
A730013,Return to Owner
A727831,Adoption
A748142,Adoption
A685624,Return to Owner
A698618,Transfer
A672062,Transfer
A730823,Transfer
A709065,Adoption
A731640,Adoption
A681096,Return to Owner
A700368,Transfer
A702769,Transfer
A669751,Transfer
A716702,Adoption
A747828,Transfer
A518184,Return to Owner
A678305,Transfer
A684459,Adoption
A616805,Return to Owner
A719592,Adoption
A681272,Transfer
A744274,Adoption
A675218,Adoption
A625864,Return to Owner
A686692,Return to Owner
A701021,Adoption
A746852,Return to Owner
A700214,Return to Owner
A683620,Transfer
A704637,Transfer
A744039,Adoption
A713528,Adoption
A670409,Transfer
A709085,Adoption
A743740,Adoption
A659262,Adoption
A676926,Euthanasia
A678172,Adoption
A686645,Adoption
A683496,Adoption
A729269,Adoption
A728247,Adoption
A723914,Adoption
A753440,Adoption
A665441,Transfer
A732423,Adoption
A710361,Adoption
A733396,Transfer
A703986,Adoption
A763157,Adoption
A717772,Adoption
A719993,Adoption
A716681,Return to Owner
A759689,Return to Owner
A550333,Return to Owner
A692588,Transfer
A669643,Return to Owner
A726057,Return to Owner
A733514,Adoption
A677138,Euthanasia
A693971,Return to Owner
A728050,Adoption
A670542,Return to Owner
A751938,Adoption
A717483,Adoption
A713198,Return to Owner
A720444,Adoption
A759658,Transfer
A746036,Transfer
A668213,Transfer
A693198,Adoption
A746806,Adoption
A759396,Transfer
A765800,Transfer
A679453,Transfer
A619170,Euthanasia
A676304,Transfer
A719721,Adoption
A728696,Adoption
A707685,Adoption
A750337,Adoption
A677737,Return to Owner
A741482,Adoption
A684412,Adoption
A729242,Adoption
A733802,Adoption
A694867,Return to Owner
A715167,Adoption
A685293,Transfer
A673103,Adoption
A752943,Transfer
A730710,Transfer
A666956,Adoption
A703574,Adoption
A708299,Transfer
A744272,Disposal
A704429,Transfer
A697343,Return to Owner
A743628,Return to Owner
A761722,Transfer
A753305,Transfer
A670869,Transfer
A650938,Transfer
A763303,Adoption
A677748,Adoption
A716009,Adoption
A695035,Adoption
A674159,Transfer
A673202,Transfer
A741177,Transfer
A694613,Return to Owner
A760852,Return to Owner
A715699,Transfer
A680556,Adoption
A705342,Transfer
A765427,Return to Owner
A703862,Transfer
A749741,Adoption
A694575,Adoption
A743337,Adoption
A703310,Return to Owner
A680026,Adoption
A709918,Adoption
A687161,Adoption
A753053,Transfer
A762714,Adoption
A757489,Transfer
A680588,Adoption
A543178,Euthanasia
A607884,Adoption
A697258,Adoption
A691501,Adoption
A760777,Adoption
A703091,Transfer
A485651,Return to Owner
A725997,Transfer
A677989,Adoption
A662550,Adoption
A724226,Adoption
A748130,Adoption
A708461,Euthanasia
A700121,Return to Owner
A710812,Adoption
A715363,Adoption
A744385,Return to Owner
A704716,Adoption
A687278,Transfer
A720990,Adoption
A672336,Transfer
A701809,Transfer
A763908,Euthanasia
A705673,Transfer
A696397,Adoption
A667092,Euthanasia
A714893,Transfer
A732394,Return to Owner
A666423,Euthanasia
A668175,Return to Owner
A709013,Transfer
A709099,Adoption
A691290,Return to Owner
A668230,Transfer
A711460,Transfer
A748370,Adoption
A606735,Return to Owner
A734986,Euthanasia
A739139,Adoption
A734640,Adoption
A711265,Adoption
A714476,Adoption
A745756,Return to Owner
A717348,Transfer
A726765,Transfer
A675373,Return to Owner
A663015,Adoption
A764632,Euthanasia
A760080,Transfer
A759203,Transfer
A732392,Adoption
A731328,Adoption
A709964,Adoption
A706306,Transfer
A754855,Adoption
A727602,Transfer
A718971,Return to Owner
A756542,Adoption
A738094,Adoption
A750944,Return to Owner
A758212,Return to Owner
A693886,Adoption
A723048,Adoption
A702342,Adoption
A706463,Transfer
A702177,Adoption
A739084,Adoption
A672501,Transfer
A683407,Transfer
A757606,Adoption
A687988,Transfer
A579028,Return to Owner
A728890,Return to Owner
A683323,Transfer
A684336,Euthanasia
A690686,Transfer
A716070,Adoption
A747949,Died
A751864,Transfer
A715644,Adoption
A678076,Euthanasia
A686551,Transfer
A676918,Transfer
A705246,Transfer
A747241,Transfer
A738947,Adoption
A696411,Adoption
A705388,Euthanasia
A750627,Transfer
A749895,Adoption
A678828,Transfer
A702608,Adoption
A690000,Adoption
A696493,Adoption
A735950,Adoption
A752513,Transfer
A731634,Transfer
A609520,Return to Owner
A759114,Return to Owner
A754256,Return to Owner
A683547,Died
A678283,Transfer
A666974,Transfer
A733904,Adoption
A754212,Adoption
A743489,Adoption
A737523,Transfer
A696785,Transfer
A733955,Adoption
A693023,Transfer
A716788,Adoption
A693721,Adoption
A678709,Adoption
A703625,Adoption
A679277,Adoption
A726212,Transfer
A735234,Adoption
A717291,Transfer
A740433,Adoption
A765495,Adoption
A538360,Return to Owner
A694257,Transfer
A629706,Euthanasia
A745151,Return to Owner
A727923,Adoption
A693393,Transfer
A686023,Disposal
A763206,Adoption
A693974,Return to Owner
A701572,Euthanasia
A764088,Adoption
A503335,Return to Owner
A705744,Transfer
A708806,Transfer
A729530,Transfer
A744369,Return to Owner
A743866,Transfer
A692787,Transfer
A714176,Transfer
A679254,Euthanasia
A711532,Adoption
A674179,Adoption
A693853,Transfer
A673077,Adoption
A672500,Adoption
A729445,Transfer
A668423,Transfer
A681993,Adoption
A668729,Adoption
A680828,Transfer
A694526,Transfer
A687852,Return to Owner
A721761,Transfer
A690091,Adoption
A738479,Adoption
A759959,Transfer
A762257,Transfer
A694189,Adoption
A609635,Return to Owner
A721517,Adoption
A677704,Transfer
A751408,Transfer
A700616,Return to Owner
A668265,Euthanasia
A723570,Transfer
A752179,Rto-Adopt
A719849,Transfer
A694149,Adoption
A688910,Return to Owner
A670262,Return to Owner
A671748,Adoption
A739113,Return to Owner
A707489,Adoption
A681381,Adoption
A698807,Adoption
A759138,Adoption
A633288,Return to Owner
A742252,Adoption
A752029,Transfer
A733461,Euthanasia
A758448,Euthanasia
A709813,Transfer
A736337,Transfer
A671119,Return to Owner
A757384,Adoption
A758353,Adoption
A741127,Adoption
A744959,Transfer
A668501,Adoption
A713802,Adoption
A764036,Adoption
A274546,Adoption
A727370,Adoption
A696723,Return to Owner
A674420,Transfer
A708011,Transfer
A704957,Adoption
A732636,Adoption
A378818,Return to Owner
A735602,Adoption
A706570,Transfer
A702537,Adoption
A674731,Adoption
A705197,Adoption
A664835,Transfer
A714945,Euthanasia
A678730,Transfer
A680016,Euthanasia
A698211,Return to Owner
A613926,Return to Owner
A669114,Transfer
A762779,Return to Owner
A726851,Return to Owner
A757550,Return to Owner
A764774,Adoption
A739056,Adoption
A689111,Transfer
A746932,Transfer
A689046,Transfer
A696202,Return to Owner
A742394,Euthanasia
A681163,Transfer
A706841,Adoption
A711808,Return to Owner
A747996,Adoption
A722960,Euthanasia
A688284,Return to Owner
A746418,Adoption
A734170,Adoption
A748966,Died
A734314,Adoption
A670819,Adoption
A695768,Return to Owner
A742808,Transfer
A749169,Transfer
A726838,Transfer
A700207,Return to Owner
A681882,Transfer
A682604,Adoption
A704290,Transfer
A726392,Transfer
A710023,Adoption
A724535,Transfer
A747574,Transfer
A728179,Adoption
A674977,Died
A732985,Return to Owner
A678284,Transfer
A744700,Return to Owner
A711972,Transfer
A739537,Adoption
A716568,Adoption
A704495,Transfer
A692244,Transfer
A706179,Adoption
A705836,Adoption
A689157,Transfer
A667372,Adoption
A692008,Adoption
A745261,Transfer
A760200,Adoption
A720124,Adoption
A764311,Adoption
A737958,Adoption
A682954,Transfer
A731164,Transfer
A748122,Transfer
A701827,Euthanasia
A741804,Adoption
A707812,Transfer
A702705,Euthanasia
A746152,Euthanasia
A707778,Return to Owner
A723193,Return to Owner
A705050,Transfer
A675780,Adoption
A690422,Adoption
A696690,Return to Owner
A685575,Return to Owner
A667577,Transfer
A719990,Euthanasia
A763667,Adoption
A696485,Adoption
A753668,Transfer
A665460,Adoption
A681180,Adoption
A588540,Return to Owner
A682125,Transfer
A721385,Return to Owner
A708598,Adoption
A752502,Adoption
A751818,Transfer
A729317,Adoption
A755169,Transfer
A556525,Transfer
A733586,Transfer
A762524,Transfer
A761249,Euthanasia
A757418,Adoption
A678333,Transfer
A739812,Adoption
A707866,Transfer
A704665,Transfer
A685622,Transfer
A699565,Transfer
A738229,Transfer
A647169,Return to Owner
A689819,Return to Owner
A639492,Return to Owner
A691887,Adoption
A689108,Adoption
A723756,Return to Owner
A705766,Euthanasia
A713771,Return to Owner
A754894,Adoption
A742795,Adoption
A712784,Return to Owner
A739010,Adoption
A740447,Adoption
A689439,Transfer
A563450,Adoption
A701045,Return to Owner
A741936,Return to Owner
A730484,Return to Owner
A705139,Transfer
A599068,Adoption
A698157,Adoption
A746245,Transfer
A742950,Adoption
A698345,Euthanasia
A711059,Transfer
A625690,Return to Owner
A715808,Adoption
A683892,Adoption
A693933,Transfer
A733547,Adoption
A754225,Transfer
A763041,Adoption
A646245,Transfer
A680911,Euthanasia
A764986,Adoption
A702659,Died
A692984,Return to Owner
A686263,Adoption
A711710,Transfer
A698560,Adoption
A678834,Transfer
A748367,Adoption
A746223,Euthanasia
A515347,Return to Owner
A688908,Return to Owner
A737568,Adoption
A701123,Adoption
A682333,Adoption
A707310,Adoption
A688752,Transfer
A729590,Adoption
A732674,Euthanasia
A700534,Euthanasia
A727005,Adoption
A733701,Adoption
A692362,Transfer
A752690,Transfer
A736620,Adoption
A675421,Transfer
A711366,Return to Owner
A678593,Adoption
A754222,Adoption
A675906,Euthanasia
A765360,Transfer
A612593,Adoption
A713217,Adoption
A753027,Adoption
A749888,Adoption
A698390,Adoption
A666428,Euthanasia
A730009,Adoption
A712293,Euthanasia
A671163,Euthanasia
A748773,Transfer
A669467,Return to Owner
A609335,Adoption
A763814,Adoption
A504094,Return to Owner
A731513,Return to Owner
A711827,Transfer
A704797,Adoption
A721190,Return to Owner
A635495,Return to Owner
A671453,Adoption
A736937,Transfer
A749492,Adoption
A765855,Transfer
A765291,Adoption
A748586,Return to Owner
A707690,Transfer
A719074,Transfer
A734679,Adoption
A676424,Return to Owner
A695938,Adoption
A703487,Return to Owner
A665401,Adoption
A682867,Adoption
A732825,Transfer
A713416,Transfer
A677715,Return to Owner
A672461,Adoption
A760086,Transfer
A751069,Adoption
A529868,Return to Owner
A666928,Transfer
A752180,Return to Owner
A746554,Transfer
A765030,Return to Owner
A761521,Transfer
A735735,Return to Owner
A745919,Transfer
A675667,Return to Owner
A724066,Adoption
A753906,Adoption
A731567,Return to Owner
A745400,Transfer
A764878,Adoption
A761042,Adoption
A712780,Return to Owner
A744571,Adoption
A664686,Euthanasia
A709131,Transfer
A722091,Adoption
A688333,Adoption
A681555,Transfer
A673559,Adoption
A759560,Adoption
A716399,Adoption
A718306,Adoption
A718439,Adoption
A757930,Adoption
A747464,Return to Owner
A708547,Adoption
A753698,Euthanasia
A697128,Return to Owner
A738621,Return to Owner
A733193,Return to Owner
A714136,Adoption
A738718,Return to Owner
A762848,Transfer
A727772,Adoption
A696561,Adoption
A709677,Adoption
A761596,Transfer
A716892,Return to Owner
A687904,Transfer
A731156,Adoption
A760638,Adoption
A747821,Adoption
A668148,Return to Owner
A711318,Transfer
A697751,Adoption
A751599,Transfer
A760084,Adoption
A729489,Transfer
A664940,Return to Owner
A747058,Return to Owner
A689624,Euthanasia
A684355,Adoption
A749524,Transfer
A739730,Adoption
A749848,Adoption
A737667,Return to Owner
A754804,Adoption
A706832,Euthanasia
A701265,Adoption
A744436,Adoption
A715211,Adoption
A680667,Adoption
A684525,Disposal
A690003,Died
A725490,Adoption
A681420,Adoption
A716341,Adoption
A663135,Adoption
A711344,Transfer
A679448,Transfer
A706550,Transfer
A702780,Euthanasia
A754890,Adoption
A667229,Adoption
A748736,Adoption
A733463,Adoption
A717244,Return to Owner
A698919,Adoption
A674579,Adoption
A731783,Adoption
A726303,Transfer
A686931,Transfer
A684198,Adoption
A674138,Euthanasia
A725681,Return to Owner
A684946,Transfer
A731051,Adoption
A585930,Adoption
A694010,Adoption
A700287,Adoption
A714772,Return to Owner
A630530,Adoption
A698128,Adoption
A722264,Adoption
A714584,Return to Owner
A755675,Transfer
A676033,Adoption
A736958,Adoption
A681520,Disposal
A732460,Transfer
A663678,Adoption
A684364,Adoption
A692098,Transfer
A745713,Return to Owner
A743750,Return to Owner
A745315,Transfer
A713659,Adoption
A727888,Adoption
A676193,Transfer
A752962,Adoption
A711891,Transfer
A705411,Transfer
A698259,Transfer
A737321,Euthanasia
A723622,Died
A696637,Transfer
A722819,Euthanasia
A720082,Transfer
A732385,Adoption
A685733,Adoption
A728358,Adoption
A478206,Return to Owner
A730644,Return to Owner
A694552,Euthanasia
A759329,Adoption
A751825,Adoption
A736224,Adoption
A673933,Adoption
A660949,Adoption
A756773,Return to Owner
A742200,Return to Owner
A693765,Return to Owner
A682087,Transfer
A692911,Adoption
A678859,Transfer
A733077,Transfer
A670076,Adoption
A757588,Adoption
A612291,Adoption
A734619,Transfer
A696867,Adoption
A764290,Adoption
A682300,Transfer
A749768,Transfer
A695939,Return to Owner
A728127,Adoption
A699749,Euthanasia
A718583,Return to Owner
A752814,Adoption
A729253,Adoption
A731056,Transfer
A752305,Transfer
A719649,Euthanasia
A689553,Adoption
A706794,Adoption
A687070,Adoption
A739879,Transfer
A699573,Euthanasia
A726562,Adoption
A720977,Adoption
A695909,Adoption
A761025,Adoption
A661592,Adoption
A641310,Adoption
A752366,Adoption
A742698,Transfer
A700390,Adoption
A664001,Adoption
A694805,Adoption
A681679,Transfer
A761337,Return to Owner
A763894,Adoption
A721919,Transfer
A681134,Adoption
A754254,Adoption
A690615,Return to Owner
A676129,Return to Owner
A685641,Return to Owner
A683453,Transfer
A753799,Transfer
A753514,Transfer
A544464,Adoption
A744273,Adoption
A727397,Adoption
A737106,Adoption
A671704,Return to Owner
A756256,Adoption
A740896,Adoption
A681123,Adoption
A686736,Transfer
A702249,Return to Owner
A759952,Adoption
A729470,Adoption
A686842,Euthanasia
A693866,Return to Owner
A742624,Adoption
A755780,Return to Owner
A727785,Adoption
A691862,Return to Owner
A736505,Adoption
A725586,Transfer
A721423,Transfer
A740969,Adoption
A685928,Euthanasia
A707135,Transfer
A673002,Return to Owner
A717115,Return to Owner
A751363,Adoption
A726420,Transfer
A742840,Transfer
A675446,Euthanasia
A695223,Adoption
A705285,Adoption
A742848,Adoption
A699079,Return to Owner
A685223,Adoption
A755168,Adoption
A716328,Return to Owner
A758978,Adoption
A674109,Adoption
A595149,Return to Owner
A755808,Transfer
A708544,Adoption
A751230,Adoption
A741697,Adoption
A698344,Euthanasia
A681253,Transfer
A749684,Euthanasia
A709295,Return to Owner
A758301,Adoption
A762365,Adoption
A762778,Return to Owner
A761960,Adoption
A762660,Transfer
A741801,Adoption
A731325,Adoption
A764554,Adoption
A697282,Adoption
A665086,Transfer
A686152,Adoption
A708337,Transfer
A759018,Transfer
A753945,Transfer
A698067,Transfer
A674258,Euthanasia
A703425,Adoption
A688131,Transfer
A759323,Adoption
A765681,Transfer
A718964,Return to Owner
A699183,Euthanasia
A736149,Euthanasia
A738236,Transfer
A685158,Adoption
A658509,Return to Owner
A694422,Transfer
A678612,Adoption
A717798,Adoption
A757592,Euthanasia
A760304,Adoption
A755423,Euthanasia
A759828,Transfer
A682611,Adoption
A531394,Adoption
A711787,Transfer
A684728,Transfer
A729584,Return to Owner
A717700,Return to Owner
A739414,Transfer
A671903,Return to Owner
A758661,Adoption
A652134,Adoption
A550920,Transfer
A751220,Adoption
A690285,Euthanasia
A680229,Adoption
A726234,Adoption
A748906,Adoption
A685973,Transfer
A728705,Adoption
A684902,Transfer
A714571,Transfer
A710693,Transfer
A718220,Adoption
A711896,Transfer
A749847,Adoption
A740881,Return to Owner
A694472,Adoption
A701784,Adoption
A731965,Adoption
A758420,Adoption
A760515,Adoption
A700995,Return to Owner
A754272,Euthanasia
A725765,Return to Owner
A663339,Adoption
A680349,Adoption
A706330,Adoption
A675323,Adoption
A749371,Adoption
A680942,Adoption
A684370,Euthanasia
A743246,Return to Owner
A716334,Adoption
A758119,Return to Owner
A678674,Transfer
A674495,Return to Owner
A735451,Euthanasia
A754218,Transfer
A586049,Return to Owner
A702344,Transfer
A750539,Adoption
A732496,Adoption
A701766,Transfer
A677635,Transfer
A681900,Transfer
A674920,Euthanasia
A702540,Transfer
A668084,Return to Owner
A715114,Adoption
A671474,Euthanasia
A739716,Adoption
A678697,Transfer
A724473,Transfer
A647531,Return to Owner
A668272,Transfer
A665291,Transfer
A685486,Adoption
A734836,Adoption
A684529,Adoption
A706085,Adoption
A684170,Return to Owner
A726298,Euthanasia
A696071,Transfer
A670447,Transfer
A700845,Transfer
A755473,Transfer
A751799,Transfer
A734421,Transfer
A705128,Transfer
A717109,Adoption
A691100,Transfer
A708881,Transfer
A753152,Return to Owner
A678299,Transfer
A670301,Return to Owner
A711591,Transfer
A712618,Euthanasia
A743754,Transfer
A668131,Adoption
A681898,Adoption
A747147,Return to Owner
A684164,Transfer
A687132,Return to Owner
A755059,Adoption
A688390,Return to Owner
A718023,Return to Owner
A678639,Transfer
A737822,Transfer
A726546,Adoption
A747885,Adoption
A694963,Return to Owner
A656752,Adoption
A659227,Adoption
A696895,Return to Owner
A763439,Transfer
A609701,Transfer
A665561,Transfer
A741803,Adoption
A651119,Return to Owner
A705655,Euthanasia
A742075,Transfer
A711669,Transfer
A724209,Transfer
A734196,Transfer
A736213,Died
A704431,Transfer
A759163,Adoption
A689387,Transfer
A594400,Transfer
A670148,Adoption
A751022,Adoption
A677271,Euthanasia
A681453,Transfer
A735358,Transfer
A698487,Adoption
A723523,Transfer
